gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Prrt2,50.80089889807417,0.7322343384971393,0.2323112617857402,5.768145335117079e-5,0.02336791460943177
Pde1b,486.89320769693165,0.5214256202556906,0.10480337544827184,2.7239708068590988e-8,5.728035220493536e-5
Get1,244.29209558378392,0.27634111589046206,0.11995225277288118,5.810203025799937e-4,0.153881964050697
Zfp516,804.427344182522,0.2457253749147502,0.10604189716774565,5.598084802860812e-4,0.1515588158961184
Ypel2,1257.880987459037,0.19800633839463322,0.09458329696466312,9.097200059494504e-4,0.22166237664964308
Wdr62,296.9772914443931,0.17847487072351156,0.17158671228593714,0.0038875830489478666,0.5349642920032274
Mthfr,881.4460263466722,0.16866627475701662,0.08612150192920594,0.0011844531281490225,0.2599511156891031
Acad8,715.6214156499668,0.16528387160197291,0.09282459040222449,0.0016210272387894476,0.32375368606839083
Dram2,399.1083183721268,0.15937368482720282,0.13299315504501588,0.003386187891369024,0.503259186888045
Paqr3,740.3138751292466,0.1198044174519463,0.30316042324465864,0.004840988410036945,0.6274229978668097
Slc35f5,2297.760053142168,0.10849102153035564,0.07790977771663128,0.0028481275734864963,0.4565623451024472
Eppk1,18355.832329555156,4.6561389133448173e-4,0.0014836638235645044,0.736171438211814,0.9999740296735196
Apoe,45712.63101760494,4.380714588540156e-4,0.0014785566792644106,0.3791261378412917,0.9999740296735196
Hcfc1r1,1026.2090799327734,4.138804861135925e-4,0.0014744545589384591,0.30179264080191787,0.9999740296735196
Lgals7,25586.74603590303,4.0490268490024975e-4,0.0014729888692811728,0.8641801265412872,0.9999740296735196
Calm4,56250.42620906979,3.6265705097072054e-4,0.0014665964907914877,0.9210091565036382,0.9999740296735196
Zfp36l2,9735.61588932358,3.304746801592047e-4,0.0014622350399308155,0.4700848693439979,0.9999740296735196
Rps23,8781.222266895536,3.1348540627134996e-4,0.0014603098945793942,0.4367341889297062,0.9999740296735196
Prkcd,3532.5543394633396,2.9682147537996695e-4,0.001458044706657781,0.6002515039229126,0.9999740296735196
Nedd4,5866.174617186461,2.895620390796505e-4,0.0014574221593586796,0.9310732139319914,0.9999740296735196
Trak1,3228.563348195183,2.8368399665427833e-4,0.0014566741953389107,0.7559203632667997,0.9999740296735196
Btg2,36402.10493679032,2.76390441309864e-4,0.0014559524965041147,0.8742081437361019,0.9999740296735196
Dnase1l2,1385.8606728670484,2.684537067344703e-4,0.0014553914820466735,0.9317899900625962,0.9999740296735196
Amotl1,4180.346111049708,2.584409684573909e-4,0.0014543660783753833,0.5568582651503151,0.9999740296735196
