gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Fam83e,26.382468796487224,0.7055728693750793,0.44647791796292424,0.002184775767054845,0.2823223161119292
Adgrb1,30.96534335533544,0.5779485692867672,0.3805793024144009,0.002416824851932487,0.29506260276440505
Cacng4,66.28170944280737,0.4875134291526981,0.16742286235873857,1.1968434055367605e-4,0.056081320037132135
Pde1b,508.5704910318632,0.39740802060284064,0.15412692346626103,3.0866374039817906e-4,0.08953453212550036
Serpinb3a,93.57994290195907,0.38307865426235144,0.1570691642093196,4.416794702410905e-4,0.10468740018643172
Slc5a1,1391.1197454547153,0.30040479009037835,0.17291832630207224,0.0019304775535288969,0.26425851724317473
Slc35f2,208.03305601291743,0.2805517986735822,0.19966346700706958,0.0030131788673813695,0.3337232558300657
Slc39a2,262.73241884894014,0.27881400809068824,0.22971977510550592,0.0037026408403301866,0.3759106113145222
Gpr35,59.71860932765798,0.27523193068747415,0.1690367013167819,0.002282164190170715,0.28663511679226616
Gne,134.97605508677438,0.24076866386940263,0.1809105642668322,0.0033813480576200877,0.34807317895697637
5730480H06Rik,256.0465420661109,0.20761242392707496,0.08328628862359853,4.4366536612702035e-4,0.10468740018643172
Ptges,2294.4284050326255,0.20162038543736446,0.08054988186330739,4.468312246322293e-4,0.10468740018643172
Nrarp,2098.5663093378407,0.19692616368074975,0.09134155071076477,8.645168434985277e-4,0.15488836329915534
Serpinb12,3203.5252640301396,0.1839423227890579,0.23316181708531766,0.00601120857700364,0.4970530352722782
Map3k6,624.329549320473,0.18384051003064789,0.10983689049741908,0.002446139939194362,0.29506260276440505
Dcbld2,270.064226394945,0.16159382019915533,0.08971843414669388,0.0020926361738509477,0.27711507071767494
Itgb1bp1,577.702612279055,0.15411998238396266,0.07909280326461789,0.0016567787157895032,0.23746511875839435
Tmem181a,1062.2792342288985,0.15339487493732099,0.06608806898133515,7.65408931709475e-4,0.1434611848464082
Trabd2b,214.97124578978338,0.15066654482911007,0.1176579647269161,0.0043335125393280044,0.4157101044616778
Lyrm1,131.04497636141113,0.14015227275680395,0.13759190302249213,0.005616273995604322,0.48185257808765813
Agpat3,2476.067339183736,0.13110994750293614,0.0917529353271577,0.00422029319112439,0.4111024474662735
Rab22a,2332.7643295077482,0.12365590438331796,0.08771637768549637,0.004524406465260468,0.4240064920482176
Cdk6,1355.8259073638155,0.11752567436072137,0.04330188352795759,3.412938302558192e-4,0.09669727288387546
Glt28d2,590.0039618950516,0.11397039217549337,0.14068038396648222,0.007391367754180029,0.5514482402352533
Med24,1168.0884306223493,0.11268605343019886,0.06090098904325158,0.002624292432508914,0.30449290195482
Lbr,1225.2235903171088,0.104861195550459,0.048046871993040856,0.0014359389594018938,0.21334200417552768
Edem1,1798.3568370163339,0.10154527567475675,0.054146653855044954,0.0027961060806437495,0.32028719801116046
Ssx2ip,1182.1242706818016,0.0976679140648868,0.05507141438942759,0.00339987755855538,0.34807317895697637
Mtmr10,527.4122034844186,0.09071381426197109,0.07512720018436053,0.0075450908806233485,0.5537460373411701
Mboat1,429.28173610915616,0.08531648760554195,0.09583824909679722,0.009680363818326003,0.5880107207805829
Prdm4,648.1460135916163,0.075539774659691,0.05831660645002977,0.00906181333023337,0.5880107207805829
Epha4,982.3542317639603,0.07518254277663929,0.10795453655853184,0.0115168680385493,0.5880107207805829
Entr1,1127.3012071660687,0.07325617238315824,0.10568469667372608,0.012257648429711204,0.5880107207805829
Rpl5,1255.184681250019,0.07126787259343534,0.06128943531858825,0.011171662430507382,0.5880107207805829
Plpbp,1248.1061766953717,0.06890576846288823,0.038359654390454113,0.0055613439891945005,0.48052378595997586
Plcg1,3417.9841243572564,0.06888567948126925,0.07059122227995582,0.012976158534255546,0.5880107207805829
Epn2,2619.4730715792657,0.06678449269438237,0.046655046430827934,0.009841382405537714,0.5880107207805829
Klhl12,615.2430256674022,0.065120460844524,0.08753986778468552,0.014267274899427147,0.5880107207805829
Bahd1,881.063111074607,0.0597548156981202,0.06427179853634658,0.016751086540250128,0.5880107207805829
Spata2,690.6232018860594,0.05741345350056176,0.0989598316844793,0.015344405109768738,0.5880107207805829
Atg9a,1344.9765377295366,0.05508232139409283,0.05918914456162324,0.019581841885176584,0.5880107207805829
Card19,360.9657919805129,0.05438257254503765,0.2066775621887965,0.010505687923978432,0.5880107207805829
Cog3,1015.1622074867536,0.052740650555338414,0.07640041173349621,0.019007349917894885,0.5880107207805829
Rbm18,552.2736976322062,0.05268428754286086,0.09683132993357328,0.015986053820462625,0.5880107207805829
