gene_name,treatment_1,treatment_2,treatment_3,treatment_4,control_1,control_2,control_3,control_4
Gnai3,6500,6756,7066,6699,6808,7126,6799,7138
Pbsn,0,0,0,0,0,0,0,0
Cdc45,188,213,161,173,192,138,163,167
Scml2,94,135,114,129,122,122,84,103
Apoh,1,0,0,2,0,0,0,0
Narf,952,1208,1140,1185,1164,1104,1066,1078
Cav2,1318,1558,1544,1349,1361,1566,1399,1770
Klf6,9237,9659,11818,11950,11440,11638,9736,11352
Scmh1,726,724,608,758,773,642,659,685
Cox5a,1372,1279,1006,1138,1108,1128,1516,1114
Tbx2,22,21,32,34,24,44,18,43
Tbx4,2,2,0,1,0,0,2,0
Zfy2,0,0,0,0,0,0,0,0
Ngfr,836,1219,748,954,825,739,930,905
Wnt3,1137,1113,964,1044,1031,1053,1141,986
Wnt9a,46,39,36,34,51,38,34,52
Fer,530,672,670,659,734,656,686,731
Xpo6,1703,1904,1868,1978,1794,1862,1712,1900
Tfe3,1216,1449,1388,1461,1299,1343,1356,1357
Axin2,984,1111,974,1036,987,984,993,1010
Brat1,374,369,390,427,436,369,359,355
Gna12,734,772,686,778,803,720,859,676
Slc22a18,196,162,122,140,176,158,157,157
Itgb2l,1,4,0,0,1,1,0,0
Igsf5,0,0,0,1,0,0,0,0
Pih1d2,8,12,12,14,13,15,10,8
Dlat,633,670,663,630,672,669,687,689
Sdhd,710,653,641,593,691,613,786,623
Fgf23,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,1
Ccnd2,6639,8354,7607,8356,8977,8594,6986,7372
Gpr107,2515,2544,2572,2466,2528,2307,2425,2526
Nalcn,0,3,0,0,0,1,0,0
Btbd17,0,1,0,0,0,0,1,0
Slfn4,1,0,2,1,1,0,0,3
Th,2,2,1,3,4,3,1,2
Ins2,0,0,0,0,0,0,0,0
Scnn1g,204,306,250,264,246,263,247,256
Drp2,17,27,19,25,13,25,11,22
Tspan32,6,0,4,4,4,4,4,1
Lhx2,175,160,178,172,197,182,212,171
Clec2g,292,279,259,285,266,290,236,260
Gmpr,10,8,4,3,7,11,11,9
Glra1,0,0,0,1,0,0,0,0
Mid2,815,1055,1125,994,983,1037,894,1095
Trim25,822,782,898,824,771,878,814,834
Dgke,281,373,368,394,350,391,339,396
Scpep1,1688,1524,1914,1615,1661,1683,1826,1781
Mnt,1331,1535,1563,1810,1587,1625,1533,1415
Itgb2,159,146,136,154,186,168,155,166
Hddc2,255,221,280,251,234,224,265,234
Tpd52l1,40,53,59,53,59,51,52,58
Pemt,11,21,14,17,22,13,23,11
Cdh1,12466,13618,13986,14526,13604,13139,13872,14536
Cdh4,318,332,260,345,300,263,199,298
Ckmt1,7438,6476,6618,6514,6410,6152,7602,6765
Bcl6b,10,6,14,16,13,13,6,15
Clec10a,0,2,0,3,2,1,2,0
Alox12,1736,1732,1718,1748,1686,1710,1897,1794
Comt,1264,1186,1132,1140,1104,1088,1232,1094
Rtca,380,387,301,318,336,354,369,336
Dbt,379,390,468,395,409,457,409,498
